source	target	weight	episode
ANAKIN (DW)	BOSS NASS	1	episode-1
ANAKIN (DW)	BRAVO THREE	1	episode-1
ANAKIN (DW)	BRAVO TWO	2	episode-1
BRAVO THREE	BRAVO TWO	2	episode-1
ANAKIN (DW)	C-3PO	3	episode-1
ANAKIN (DW)	CAPTAIN PANAKA	2	episode-1
BOSS NASS	CAPTAIN PANAKA	1	episode-1
DARTH MAUL	GENERAL CEEL	1	episode-1
ANAKIN (DW)	GREEDO	1	episode-1
ANAKIN (DW)	JABBA	1	episode-1
FODE/BEED	JABBA	1	episode-1
ANAKIN (DW)	JAR JAR	8	episode-1
BOSS NASS	JAR JAR	2	episode-1
CAPTAIN PANAKA	JAR JAR	7	episode-1
FODE/BEED	JAR JAR	2	episode-1
GENERAL CEEL	JAR JAR	1	episode-1
JABBA	JAR JAR	1	episode-1
ANAKIN (DW)	JIRA	2	episode-1
ANAKIN (DW)	KI-ADI-MUNDI	2	episode-1
ANAKIN (DW)	KITSTER	3	episode-1
C-3PO	KITSTER	1	episode-1
JAR JAR	KITSTER	1	episode-1
ANAKIN (DW)	MACE WINDU	3	episode-1
KI-ADI-MUNDI	MACE WINDU	3	episode-1
DARTH MAUL	NUTE GUNRAY	3	episode-1
DOFINE	NUTE GUNRAY	1	episode-1
GENERAL CEEL	NUTE GUNRAY	1	episode-1
ANAKIN (DW)	OBI-WAN	5	episode-1
BOSS NASS	OBI-WAN	2	episode-1
CAPTAIN PANAKA	OBI-WAN	7	episode-1
JAR JAR	OBI-WAN	12	episode-1
KI-ADI-MUNDI	OBI-WAN	1	episode-1
MACE WINDU	OBI-WAN	2	episode-1
ANAKIN (DW)	PADME	16	episode-1
BOSS NASS	PADME	2	episode-1
C-3PO	PADME	2	episode-1
CAPTAIN PANAKA	PADME	7	episode-1
FODE/BEED	PADME	1	episode-1
JABBA	PADME	1	episode-1
JAR JAR	PADME	9	episode-1
JIRA	PADME	1	episode-1
KITSTER	PADME	1	episode-1
NUTE GUNRAY	PADME	1	episode-1
OBI-WAN	PADME	1	episode-1
BAIL ORGANA	PALPATINE (DS)	1	episode-1
CAPTAIN PANAKA	PALPATINE (DS)	3	episode-1
DARTH MAUL	PALPATINE (DS)	3	episode-1
GENERAL CEEL	PALPATINE (DS)	1	episode-1
JAR JAR	PALPATINE (DS)	2	episode-1
NUTE GUNRAY	PALPATINE (DS)	5	episode-1
PADME	PALPATINE (DS)	1	episode-1
QUI-GON	PALPATINE (DS)	1	episode-1
RUNE	PALPATINE (DS)	3	episode-1
SIO BIBBLE	PALPATINE (DS)	1	episode-1
VALORUM	PALPATINE (DS)	2	episode-1
ANAKIN (DW)	QUI-GON	22	episode-1
BOSS NASS	QUI-GON	2	episode-1
C-3PO	QUI-GON	1	episode-1
CAPTAIN PANAKA	QUI-GON	9	episode-1
GREEDO	QUI-GON	1	episode-1
JABBA	QUI-GON	1	episode-1
JAR JAR	QUI-GON	22	episode-1
JIRA	QUI-GON	2	episode-1
KI-ADI-MUNDI	QUI-GON	2	episode-1
KITSTER	QUI-GON	2	episode-1
MACE WINDU	QUI-GON	2	episode-1
NUTE GUNRAY	QUI-GON	1	episode-1
OBI-WAN	QUI-GON	26	episode-1
PADME	QUI-GON	16	episode-1
ANAKIN (DW)	R2-D2	16	episode-1
C-3PO	R2-D2	2	episode-1
KITSTER	R2-D2	2	episode-1
PADME	R2-D2	11	episode-1
QUI-GON	R2-D2	14	episode-1
ANAKIN (DW)	RABE	1	episode-1
KI-ADI-MUNDI	RABE	1	episode-1
MACE WINDU	RABE	1	episode-1
QUI-GON	RABE	1	episode-1
ANAKIN (DW)	RIC OLIE	4	episode-1
BRAVO THREE	RIC OLIE	2	episode-1
BRAVO TWO	RIC OLIE	4	episode-1
CAPTAIN PANAKA	RIC OLIE	2	episode-1
